mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
19.0,6,156.0,108.0,2930,15.5,76,3,"toyota mark ii"
32.0,4,135.0,84.00,2295,11.6,82,1,"dodge rampage"
17.0,8,302.0,140.0,3449,10.5,70,1,"ford torino"
38.0,4,105.0,63.00,2125,14.7,82,1,"plymouth horizon miser"
22.0,6,225.0,100.0,3233,15.4,76,1,"plymouth valiant"
30.0,4,97.00,67.00,1985,16.4,77,3,"subaru dl"
24.3,4,151.0,90.00,3003,20.1,80,1,"amc concord"
15.0,8,318.0,150.0,4135,13.5,72,1,"plymouth fury iii"
26.0,4,98.00,90.00,2265,15.5,73,2,"fiat 124 sport coupe"
19.0,6,250.0,88.00,3302,15.5,71,1,"ford torino 500"
33.5,4,85.00,70.00,1945,16.8,77,3,"datsun f-10 hatchback"
23.5,6,173.0,110.0,2725,12.6,81,1,"chevrolet citation"
15.0,8,304.0,150.0,3892,12.5,72,1,"amc matador (sw)"
14.0,8,454.0,220.0,4354,9.0,70,1,"chevrolet impala"
37.0,4,85.00,65.00,1975,19.4,81,3,"datsun 210 mpg"
22.0,4,121.0,76.00,2511,18.0,72,2,"volkswagen 411 (sw)"
19.0,6,250.0,100.0,3282,15.0,71,1,"pontiac firebird"
19.0,4,122.0,85.00,2310,18.5,73,1,"ford pinto"
43.1,4,90.00,48.00,1985,21.5,78,2,"volkswagen rabbit custom diesel"
11.0,8,350.0,180.0,3664,11.0,73,1,"oldsmobile omega"
18.0,6,225.0,95.00,3785,19.0,75,1,"plymouth fury"
27.0,4,151.0,90.00,2950,17.3,82,1,"chevrolet camaro"
26.0,4,116.0,75.00,2246,14.0,74,2,"fiat 124 tc"
17.7,6,231.0,165.0,3445,13.4,78,1,"buick regal sport coupe (turbo)"
30.5,4,98.00,63.00,2051,17.0,77,1,"chevrolet chevette"
31.0,4,119.0,82.00,2720,19.4,82,1,"chevy s-10"
31.6,4,120.0,74.00,2635,18.3,81,3,"mazda 626"
31.9,4,89.00,71.00,1925,14.0,79,2,"vw rabbit custom"
14.0,8,351.0,153.0,4154,13.5,71,1,"ford galaxie 500"
29.5,4,97.00,71.00,1825,12.2,76,2,"volkswagen rabbit"
27.0,4,101.0,83.00,2202,15.3,76,2,"renault 12tl"
28.0,4,112.0,88.00,2605,19.6,82,1,"chevrolet cavalier"
29.8,4,134.0,90.00,2711,15.5,80,3,"toyota corona liftback"
16.0,8,318.0,150.0,4498,14.5,75,1,"plymouth grand fury"
16.0,8,351.0,149.0,4335,14.5,77,1,"ford thunderbird"
37.7,4,89.00,62.00,2050,17.3,81,3,"toyota tercel"
25.0,4,110.0,87.00,2672,17.5,70,2,"peugeot 504"
35.1,4,81.00,60.00,1760,16.1,81,3,"honda civic 1300"
25.4,5,183.0,77.00,3530,20.1,79,2,"mercedes benz 300d"
18.0,3,70.00,90.00,2124,13.5,73,3,"maxda rx3"
13.0,8,440.0,215.0,4735,11.0,73,1,"chrysler new yorker brougham"
32.9,4,119.0,100.0,2615,14.8,81,3,"datsun 200sx"
26.0,4,97.00,78.00,2300,14.5,74,2,"opel manta"
34.7,4,105.0,63.00,2215,14.9,81,1,"plymouth horizon 4"
13.0,8,302.0,140.0,4294,16.0,72,1,"ford gran torino (sw)"
13.0,8,350.0,150.0,4699,14.5,74,1,"buick century luxus (sw)"
30.0,4,79.00,70.00,2074,19.5,71,2,"peugeot 304"
33.0,4,91.00,53.00,1795,17.4,76,3,"honda civic"
36.0,4,105.0,74.00,1980,15.3,82,2,"volkswagen rabbit l"
26.0,4,96.00,69.00,2189,18.0,72,2,"renault 12 (sw)"
38.0,4,91.00,67.00,1965,15.0,82,3,"honda civic"
17.5,8,318.0,140.0,4080,13.7,78,1,"dodge magnum xe"
23.0,4,115.0,95.00,2694,15.0,75,2,"audi 100ls"
15.5,8,400.0,190.0,4325,12.2,77,1,"chrysler cordoba"
36.4,5,121.0,67.00,2950,19.9,80,2,"audi 5000s (diesel)"
16.0,8,400.0,170.0,4668,11.5,75,1,"pontiac catalina"
10.0,8,360.0,215.0,4615,14.0,70,1,"ford f250"
13.0,8,350.0,155.0,4502,13.5,72,1,"buick lesabre custom"
25.5,4,122.0,96.00,2300,15.5,77,1,"plymouth arrow gs"
20.5,6,225.0,100.0,3430,17.2,78,1,"plymouth volare"
12.0,8,350.0,160.0,4456,13.5,72,1,"oldsmobile delta 88 royale"
11.0,8,400.0,150.0,4997,14.0,73,1,"chevrolet impala"
18.0,6,250.0,78.00,3574,21.0,76,1,"ford granada ghia"
26.6,4,151.0,84.00,2635,16.4,81,1,"buick skylark"
31.5,4,89.00,71.00,1990,14.9,78,2,"volkswagen scirocco"
32.1,4,98.00,70.00,2120,15.5,80,1,"chevrolet chevette"
20.0,4,114.0,91.00,2582,14.0,73,2,"audi 100ls"
27.0,4,97.00,60.00,1834,19.0,71,2,"volkswagen model 111"
19.0,6,232.0,100.0,2634,13.0,71,1,"amc gremlin"
22.4,6,231.0,110.0,3415,15.8,81,1,"buick century"
27.4,4,121.0,80.00,2670,15.0,79,1,"amc spirit dl"
30.9,4,105.0,75.00,2230,14.5,78,1,"dodge omni"
25.0,4,113.0,95.00,2228,14.0,71,3,"toyota corona"
12.0,8,350.0,180.0,4499,12.5,73,1,"oldsmobile vista cruiser"
28.0,4,97.00,75.00,2155,16.4,76,3,"toyota corolla"
15.5,8,318.0,145.0,4140,13.7,77,1,"dodge monaco brougham"
18.0,8,307.0,130.0,3504,12.0,70,1,"chevrolet chevelle malibu"
16.0,8,400.0,180.0,4220,11.1,77,1,"pontiac grand prix lj"
11.0,8,318.0,210.0,4382,13.5,70,1,"dodge d200"
17.6,8,302.0,129.0,3725,13.4,79,1,"ford ltd landau"
25.0,4,121.0,115.0,2671,13.5,75,2,"saab 99le"
30.0,4,135.0,84.00,2385,12.9,81,1,"plymouth reliant"
20.0,6,198.0,95.00,3102,16.5,74,1,"plymouth duster"
26.0,4,97.00,46.00,1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
37.3,4,91.00,69.00,2130,14.7,79,2,"fiat strada custom"
23.7,3,70.00,100.0,2420,12.5,80,3,"mazda rx-7 gs"
26.0,4,121.0,113.0,2234,12.5,70,2,"bmw 2002"
13.0,8,400.0,170.0,4746,12.0,71,1,"ford country squire (sw)"
16.0,6,250.0,100.0,3278,18.0,73,1,"chevrolet nova custom"
23.0,4,120.0,97.00,2506,14.5,72,3,"toyouta corona mark ii (sw)"
29.0,4,90.00,70.00,1937,14.0,75,2,"volkswagen rabbit"
37.0,4,91.00,68.00,2025,18.2,82,3,"mazda glc custom l"
18.0,6,171.0,97.00,2984,14.5,75,1,"ford pinto"
20.0,4,130.0,102.0,3150,15.7,76,2,"volvo 245"
30.7,6,145.0,76.00,3160,19.6,81,2,"volvo diesel"
20.3,5,131.0,103.0,2830,15.9,78,2,"audi 5000"
28.0,4,98.00,80.00,2164,15.0,72,1,"dodge colt (sw)"
16.0,8,318.0,150.0,4190,13.0,76,1,"dodge coronet brougham"
28.0,4,97.00,92.00,2288,17.0,72,3,"datsun 510 (sw)"
13.0,8,400.0,175.0,5140,12.0,71,1,"pontiac safari (sw)"
20.6,6,225.0,110.0,3360,16.6,79,1,"dodge aspen 6"
26.5,4,140.0,72.00,2565,13.6,76,1,"ford pinto"
20.5,6,231.0,105.0,3425,16.9,77,1,"buick skylark"
34.3,4,97.00,78.00,2188,15.8,80,2,"audi 4000"
16.0,8,302.0,140.0,4141,14.0,74,1,"ford gran torino"
27.0,4,97.00,88.00,2130,14.5,70,3,"datsun pl510"
29.5,4,98.00,68.00,2135,16.6,78,3,"honda accord lx"
36.1,4,91.00,60.00,1800,16.4,78,3,"honda civic cvcc"
28.0,4,90.00,75.00,2125,14.5,74,1,"dodge colt"
23.0,4,120.0,88.00,2957,17.0,75,2,"peugeot 504"
24.0,4,107.0,90.00,2430,14.5,70,2,"audi 100 ls"
16.0,8,400.0,230.0,4278,9.50,73,1,"pontiac grand prix"
14.0,8,350.0,165.0,4209,12.0,71,1,"chevrolet impala"
26.0,4,156.0,92.00,2585,14.5,82,1,"chrysler lebaron medallion"
26.0,4,122.0,80.00,2451,16.5,74,1,"ford pinto"
30.0,4,98.00,68.00,2155,16.5,78,1,"chevrolet chevette"
25.4,6,168.0,116.0,2900,12.6,81,3,"toyota cressida"
17.5,8,305.0,145.0,3880,12.5,77,1,"chevrolet caprice classic"
25.0,4,90.00,71.00,2223,16.5,75,2,"volkswagen dasher"
17.0,8,260.0,110.0,4060,19.0,77,1,"oldsmobile cutlass supreme"
12.0,8,429.0,198.0,4952,11.5,73,1,"mercury marquis brougham"
31.0,4,71.00,65.00,1773,19.0,71,3,"toyota corolla 1200"
18.5,6,250.0,110.0,3645,16.2,76,1,"pontiac ventura sj"
18.1,6,258.0,120.0,3410,15.1,78,1,"amc concord d/l"
26.0,4,79.00,67.00,1963,15.5,74,2,"volkswagen dasher"
14.0,8,455.0,225.0,3086,10.0,70,1,"buick estate wagon (sw)"
26.8,6,173.0,115.0,2700,12.9,79,1,"oldsmobile omega brougham"
28.0,4,140.0,90.00,2264,15.5,71,1,"chevrolet vega 2300"
18.0,4,121.0,112.0,2933,14.5,72,2,"volvo 145e (sw)"
29.0,4,90.00,70.00,1937,14.2,76,2,"vw rabbit"
21.5,4,121.0,110.0,2600,12.8,77,2,"bmw 320i"
36.0,4,79.00,58.00,1825,18.6,77,2,"renault 5 gtl"
24.0,4,134.0,96.00,2702,13.5,75,3,"toyota corona"
18.0,6,232.0,100.0,3288,15.5,71,1,"amc matador"
32.0,4,85.00,70.00,1990,17.0,76,3,"datsun b-210"
36.1,4,98.00,66.00,1800,14.4,78,1,"ford fiesta"
21.0,4,122.0,86.00,2226,16.5,72,1,"ford pinto runabout"
27.2,4,119.0,97.00,2300,14.7,78,3,"datsun 510"
26.0,4,108.0,93.00,2391,15.5,74,3,"subaru"
24.0,4,120.0,97.00,2489,15.0,74,3,"honda civic"
33.7,4,107.0,75.00,2210,14.4,81,3,"honda prelude"
20.0,4,97.00,88.00,2279,19.0,73,3,"toyota carina"
32.0,4,83.00,61.00,2003,19.0,74,3,"datsun 710"
34.0,4,108.0,70.00,2245,16.9,82,3,"toyota corolla"
20.0,6,225.0,100.0,3651,17.7,76,1,"dodge aspen se"
39.0,4,86.00,64.00,1875,16.4,81,1,"plymouth champ"
26.0,4,98.00,79.00,2255,17.7,76,1,"dodge colt"
31.0,4,76.00,52.00,1649,16.5,74,3,"toyota corona"
29.0,4,97.00,78.00,1940,14.5,77,2,"volkswagen rabbit custom"
24.0,6,200.0,81.00,3012,17.6,76,1,"ford maverick"
18.6,6,225.0,110.0,3620,18.7,78,1,"dodge aspen"
22.3,4,140.0,88.00,2890,17.3,79,1,"ford fairmont 4"
20.0,6,232.0,100.0,2914,16.0,75,1,"amc gremlin"
26.0,4,97.00,46.00,1950,21.0,73,2,"volkswagen super beetle"
27.2,4,135.0,84.00,2490,15.7,81,1,"plymouth reliant"
13.0,8,307.0,130.0,4098,14.0,72,1,"chevrolet chevelle concours (sw)"
36.0,4,98.00,70.00,2125,17.3,82,1,"mercury lynx l"
24.5,4,151.0,88.00,2740,16.0,77,1,"pontiac sunbird coupe"
15.0,8,318.0,150.0,3777,12.5,73,1,"dodge coronet custom"
30.5,4,97.00,78.00,2190,14.1,77,2,"volkswagen dasher"
12.0,8,383.0,180.0,4955,11.5,71,1,"dodge monaco (sw)"
14.0,8,440.0,215.0,4312,8.5,70,1,"plymouth fury iii"
20.0,6,156.0,122.0,2807,13.5,73,3,"toyota mark ii"
35.0,4,72.00,69.00,1613,18.0,71,3,"datsun 1200"
13.0,8,400.0,150.0,4464,12.0,73,1,"chevrolet caprice classic"
18.0,6,232.0,100.0,2789,15.0,73,1,"amc gremlin"
23.0,4,122.0,86.00,2220,14.0,71,1,"mercury capri 2000"
19.8,6,200.0,85.00,2990,18.2,79,1,"mercury zephyr 6"
15.0,6,258.0,110.0,3730,19.0,75,1,"amc matador"
39.4,4,85.00,70.00,2070,18.6,78,3,"datsun b210 gx"
23.9,4,119.0,97.00,2405,14.9,78,3,"datsun 200-sx"
29.9,4,98.00,65.00,2380,20.7,81,1,"ford escort 2h"
17.0,6,231.0,110.0,3907,21.0,75,1,"buick century"
28.0,4,120.0,79.00,2625,18.6,82,1,"ford ranger"
26.6,8,350.0,105.0,3725,19.0,81,1,"oldsmobile cutlass ls"
13.0,8,350.0,175.0,4100,13.0,73,1,"buick century 350"
36.0,4,135.0,84.00,2370,13.0,82,1,"dodge charger 2.2"
30.0,4,88.00,76.00,2065,14.5,71,2,"fiat 124b"
32.2,4,108.0,75.00,2265,15.2,80,3,"toyota corolla"
24.0,4,90.00,75.00,2108,15.5,74,2,"fiat 128"
20.5,6,200.0,95.00,3155,18.2,78,1,"chevrolet malibu"
29.8,4,89.00,62.00,1845,15.3,80,2,"vokswagen rabbit"
21.1,4,134.0,95.00,2515,14.8,78,3,"toyota celica gt liftback"
22.0,4,140.0,72.00,2408,19.0,71,1,"chevrolet vega (sw)"
16.0,6,225.0,105.0,3439,15.5,71,1,"plymouth satellite custom"
28.4,4,151.0,90.00,2670,16.0,79,1,"buick skylark limited"
35.0,4,122.0,88.00,2500,15.1,80,2,"triumph tr7 coupe"
33.0,4,105.0,74.00,2190,14.2,81,2,"volkswagen jetta"
29.0,4,97.00,75.00,2171,16.0,75,3,"toyota corolla"
21.5,3,80.00,110.0,2720,13.5,77,3,"mazda rx-4"
20.2,6,200.0,85.00,2965,15.8,78,1,"ford fairmont (auto)"
17.5,8,305.0,140.0,4215,13.0,76,1,"chevrolet chevelle malibu classic"
10.0,8,307.0,200.0,4376,15.0,70,1,"chevy c20"
21.5,6,231.0,115.0,3245,15.4,79,1,"pontiac lemans v6"
34.1,4,86.00,65.00,1975,15.2,79,3,"maxda glc deluxe"
15.5,8,304.0,120.0,3962,13.9,76,1,"amc matador"
37.2,4,86.00,65.00,2019,16.4,80,3,"datsun 310"
22.0,4,108.0,94.00,2379,16.5,73,3,"datsun 610"
24.0,4,121.0,110.0,2660,14.0,73,2,"saab 99le"
19.0,6,225.0,95.00,3264,16.0,75,1,"plymouth valiant custom"
25.1,4,140.0,88.00,2720,15.4,78,1,"ford fairmont (man)"
44.0,4,97.00,52.00,2130,24.6,82,2,"vw pickup"
28.1,4,141.0,80.00,3230,20.4,81,2,"peugeot 505s turbo diesel"
15.0,6,250.0,72.00,3158,19.5,75,1,"ford maverick"
21.0,6,155.0,107.0,2472,14.0,73,1,"mercury capri v6"
40.8,4,85.00,65.00,2110,19.2,80,3,"datsun 210"
19.0,6,232.0,90.00,3211,17.0,75,1,"amc pacer"
23.2,4,156.0,105.0,2745,16.7,78,1,"plymouth sapporo"
28.0,4,151.0,90.00,2678,16.5,80,1,"chevrolet citation"
17.5,6,250.0,110.0,3520,16.4,77,1,"chevrolet concours"
38.0,4,91.00,67.00,1995,16.2,82,3,"datsun 310 gx"
17.5,6,258.0,95.00,3193,17.8,76,1,"amc pacer d/l"
29.0,4,98.00,83.00,2219,16.5,74,2,"audi fox"
25.0,4,97.50,80.00,2126,17.0,72,1,"dodge colt hardtop"
17.6,6,225.0,85.00,3465,16.6,81,1,"chrysler lebaron salon"
15.0,8,302.0,130.0,4295,14.9,77,1,"mercury cougar brougham"
14.0,8,351.0,148.0,4657,13.5,75,1,"ford ltd"
14.0,8,318.0,150.0,4077,14.0,72,1,"plymouth satellite custom (sw)"
27.0,4,112.0,88.00,2640,18.6,82,1,"chevrolet cavalier wagon"
46.6,4,86.00,65.00,2110,17.9,80,3,"mazda glc"
24.2,6,146.0,120.0,2930,13.8,81,3,"datsun 810 maxima"
23.0,4,140.0,78.00,2592,18.5,75,1,"pontiac astro"
25.5,4,140.0,89.00,2755,15.8,77,1,"ford mustang ii 2+2"
38.1,4,89.00,60.00,1968,18.8,80,3,"toyota corolla tercel"
21.0,4,140.0,72.00,2401,19.5,73,1,"chevrolet vega"
19.1,6,225.0,90.00,3381,18.7,80,1,"dodge aspen"
18.0,6,250.0,88.00,3021,16.5,73,1,"ford maverick"
15.0,8,383.0,170.0,3563,10.0,70,1,"dodge challenger se"
19.2,6,231.0,105.0,3535,19.2,78,1,"pontiac phoenix lj"
25.0,4,104.0,95.00,2375,17.5,70,2,"saab 99e"
12.0,8,400.0,167.0,4906,12.5,73,1,"ford country"
33.8,4,97.00,67.00,2145,18.0,80,3,"subaru dl"
24.0,4,119.0,97.00,2545,17.0,75,3,"datsun 710"
32.3,4,97.00,67.00,2065,17.8,81,3,"subaru"
35.7,4,98.00,80.00,1915,14.4,79,1,"dodge colt hatchback custom"
11.0,8,429.0,208.0,4633,11.0,72,1,"mercury marquis"
20.0,4,140.0,90.00,2408,19.5,72,1,"chevrolet vega"
19.0,4,121.0,112.0,2868,15.5,73,2,"volvo 144ea"
28.0,4,107.0,86.00,2464,15.5,76,2,"fiat 131"
23.8,4,151.0,85.00,2855,17.6,78,1,"oldsmobile starfire sx"
25.0,4,140.0,75.00,2542,17.0,74,1,"chevrolet vega"
16.2,6,163.0,133.0,3410,15.8,78,2,"peugeot 604sl"
